ts_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
8.821,-0.1411,0.0042,1.0254,0.2366,0.6641,0.626
8.841,-0.1409,0.0063,1.0239,0.2824,0.458,0.6565
8.861,-0.145,0.0029,1.0322,0.2901,0.5649,0.5954
8.881,-0.1426,0.0017,1.0278,0.1374,0.6031,0.6031
8.901,-0.1421,0.0039,1.0264,0.2595,0.4885,0.626
8.921,-0.145,0.0037,1.0247,0.2519,0.5496,0.6336
8.941,-0.1411,0.0056,1.0276,0.2214,0.4885,0.6031
8.961,-0.1436,0.0088,1.0234,0.2824,0.6794,0.6718
8.981,-0.1387,0.0051,1.0269,0.2748,0.5725,0.6107
9.001,-0.1475,0.0029,1.0261,0.2443,0.4504,0.6031
9.021,-0.1443,0.0046,1.0256,0.1985,0.6947,0.6718
9.041,-0.1401,0.0085,1.019,0.1756,0.5191,0.6412
9.061,-0.1487,0.0012,1.022,0.2443,0.6718,0.6183
9.081,-0.1394,0.0032,1.0237,0.1832,0.5038,0.5573
9.101,-0.1443,0.0044,1.0291,0.1908,0.4427,0.5573
9.121,-0.1433,0.0073,1.0281,0.1527,0.5878,0.7405
9.141,-0.1404,0.0044,1.0242,0.1756,0.4962,0.6412
9.161,-0.1448,0.0012,1.03,0.2366,0.7176,0.6107
9.181,-0.1416,0.0037,1.0261,0.2137,0.7252,0.6794
9.201,-0.1445,0.0063,1.03,0.1069,0.5725,0.5954
9.221,-0.1465,0.0049,1.0286,0.1985,0.6031,0.6489
9.241,-0.1394,0.0049,1.0249,0.2061,0.4885,0.6031
9.261,-0.146,0.0051,1.0305,0.2977,0.5573,0.5954
9.281,-0.1396,0.0068,1.0286,0.1908,0.626,0.626
9.302,-0.1479,0.009,1.0249,0.2443,0.5344,0.6336
9.321,-0.1423,0.0105,1.0283,0.2519,0.5573,0.6183
