ts_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,stdDevAX,DeltaTime,Angle,Drift Per Min
5.325,-0.1196,0.011,1.0188,0.0992,0.6412,0.626,,0.02,0.6451429,
5.345,-0.1194,0.0127,1.019,0.0611,0.4656,0.6565,,0.02,0.6463649,
5.365,-0.1165,0.0142,1.0161,0.145,0.5115,0.5878,,0.02,0.6492649,
5.385,-0.1169,0.0144,1.0203,0.1069,0.4885,0.5725,,0.02,0.6514029,
5.405,-0.1187,0.0161,1.0247,0.1908,0.5954,0.5802,,0.02,0.6552189,
5.425,-0.1179,0.0156,1.0239,0.1374,0.626,0.5878,,0.02,0.6579669,
5.445,-0.1155,0.0144,1.0198,0.2137,0.5649,0.6794,,0.02,0.6622409,
5.465,-0.1208,0.0159,1.0222,0.1985,0.5115,0.6489,,0.02,0.6662109,
5.485,-0.1145,0.0132,1.0195,0.1221,0.5496,0.5267,,0.02,0.6686529,
5.505,-0.1211,0.0127,1.0281,0.1527,0.5344,0.5649,,0.02,0.6717069,
5.525,-0.1187,0.0154,1.0212,0.2824,0.5496,0.7176,,0.02,0.6773549,
5.545,-0.1162,0.0176,1.0198,0.1985,0.5573,0.5649,,0.02,0.6813249,
5.565,-0.1157,0.0173,1.0195,0.1298,0.4504,0.5496,,0.02,0.6839209,
5.585,-0.1191,0.0125,1.0193,0.1145,0.5496,0.6336,,0.02,0.6862109,
5.605,-0.1152,0.0156,1.0176,0.1603,0.5878,0.5573,,0.02,0.6894169,
5.625,-0.1182,0.0151,1.0176,0.1069,0.4809,0.6183,,0.02,0.6915549,
5.645,-0.1187,0.0137,1.02,0.1527,0.4885,0.5496,,0.02,0.6946089,
5.665,-0.1182,0.0171,1.0239,0.1527,0.5038,0.6031,,0.02,0.6976629,
5.685,-0.1177,0.0137,1.0205,0.1679,0.458,0.6107,,0.02,0.7010209,
5.705,-0.1167,0.0159,1.0212,0.1832,0.5038,0.6336,,0.02,0.7046849,
5.725,-0.1174,0.0168,1.0239,0.1985,0.5573,0.626,,0.02,0.7086549,
5.745,-0.1167,0.0156,1.021,0.1298,0.5344,0.6565,,0.02,0.7112509,
5.765,-0.1208,0.0168,1.0242,0.2595,0.6412,0.7099,,0.02,0.7164409,
5.785,-0.1191,0.0142,1.0237,0.2443,0.5267,0.6336,,0.02,0.7213269,
5.805,-0.1162,0.0166,1.0212,0.1756,0.5344,0.6031,,0.02,0.7248389,
5.825,-0.1174,0.0178,1.0247,0.145,0.6183,0.6718,,0.021,0.7278839,
5.846,-0.1208,0.0171,1.0232,0.1527,0.458,0.5573,,0.019,0.7307852,
5.865,-0.1204,0.0146,1.0212,0.1374,0.5115,0.5573,,0.02,0.7335332,
5.885,-0.1143,0.012,1.0225,0.1679,0.5725,0.6794,,0.02,0.7368912,
5.905,-0.1199,0.0166,1.0188,0.1145,0.5878,0.5344,,0.02,0.7391812,
5.925,-0.1172,0.0168,1.0227,0.1985,0.5038,0.5802,,0.02,0.7431512,
5.945,-0.1199,0.0181,1.0203,0.1985,0.542,0.5573,,0.02,0.7471212,
5.965,-0.1135,0.0149,1.0234,0.1908,0.5573,0.6641,,0.02,0.7509372,
5.985,-0.1145,0.0164,1.0212,0.1603,0.5725,0.6107,,0.02,0.7541432,
6.005,-0.1162,0.0144,1.0193,0.0687,0.7099,0.5802,,0.02,0.7555172,
6.025,-0.1165,0.0151,1.021,0.1069,0.4885,0.5802,,0.02,0.7576552,
6.045,-0.1199,0.012,1.0208,0.1985,0.542,0.6412,,0.02,0.7616252,
6.065,-0.1147,0.0149,1.0173,0.0611,0.5725,0.6336,,0.02,0.7628472,
6.085,-0.1179,0.0186,1.0173,0.0916,0.626,0.5725,,0.02,0.7646792,
6.105,-0.1177,0.0159,1.0247,0.1069,0.5725,0.5878,,0.02,0.7668172,
6.125,-0.123,0.0132,1.0171,0.1756,0.5802,0.5038,,0.02,0.7703292,
6.145,-0.1172,0.0125,1.0178,0.2137,0.5725,0.542,,0.02,0.7746032,
6.165,-0.1147,0.0132,1.0269,0.2061,0.4504,0.687,,0.02,0.7787252,
6.185,-0.1167,0.0159,1.0142,0.1679,0.5878,0.5802,,0.02,0.7820832,
6.205,-0.1167,0.0168,1.0183,0.1908,0.6107,0.5496,,0.02,0.7858992,
6.225,-0.1196,0.0154,1.0232,0.1679,0.6031,0.4809,,0.02,0.7892572,
6.245,-0.1199,0.0168,1.0193,0.2214,0.5573,0.5191,,0.02,0.7936852,
6.265,-0.1135,0.0183,1.0215,0.1298,0.5496,0.6336,,0.02,0.7962812,
6.285,-0.1179,0.0164,1.0247,0.229,0.542,0.6107,,0.02,0.8008612,
6.305,-0.1189,0.0137,1.0205,0.1756,0.5802,0.6183,,0.02,0.8043732,
6.325,-0.1152,0.0132,1.0215,0.1908,0.5496,0.5649,,0.02,0.8081892,
6.345,-0.1121,0.0161,1.0227,0.2443,0.4885,0.6183,,0.02,0.8130752,
6.365,-0.1169,0.0176,1.0232,0.1832,0.5267,0.6412,,0.02,0.8167392,
6.385,-0.1211,0.0159,1.0237,0.2519,0.542,0.6336,,0.02,0.8217772,
6.405,-0.1204,0.0156,1.0139,0.2366,0.5496,0.5878,,0.02,0.8265092,
6.425,-0.1157,0.0146,1.0242,0.2214,0.4275,0.5573,,0.02,0.8309372,
6.445,-0.1133,0.0164,1.022,0.1527,0.5802,0.6183,,0.02,0.8339912,
6.465,-0.1167,0.0186,1.022,0.229,0.4809,0.6183,,0.021,0.8388002,
6.486,-0.1194,0.0159,1.022,0.1527,0.5649,0.5878,,0.019,0.8417015,
6.505,-0.1174,0.0176,1.0173,0.1298,0.5496,0.6336,,0.02,0.8442975,
6.525,-0.1162,0.0186,1.0171,0.1603,0.5191,0.5954,,0.02,0.8475035,
